,entname,bidnum,bidnumlabel
0,384073e8cbfafd69e9154798ad8dd3fe,3,中标次数少
1,8de674fda020874e15aa797728eb3ee5,1,中标次数少
2,63845129f4ea0c9ad53127c6c6bf97e3,1,中标次数少
3,bfc03e1621447e741a242da0c1c06bac,1,中标次数少
4,a293f02824226beeb84f025f2e875f45,1,中标次数少
5,3925280fb9d15c49dd6f5ea22d869097,1,中标次数少
6,e5cd2fb14f39f1ea252ad1650516f375,1,中标次数少
7,5362d318c605a2f380d721c698071e0a,4,中标次数少
8,308baac89fc6b272be058326161a725b,2,中标次数少
9,0480a2b81d530039d5c95ee2c487b19d,1,中标次数少
10,0380837ff10cad3eac713a50a237e5a0,3,中标次数少
11,641e5953a725698e2f8eb17af040c503,1,中标次数少
12,dff5feabf215aa1d3a04a0eb6ca1dd3c,1,中标次数少
13,be3a630de2d0445fc6a2b22f5f1e503f,1,中标次数少
14,026a260bcf1e7492ee257ff56e5362d1,30,中标次数多
15,a4f90e603b83df5745003aa7809b5366,4,中标次数少
16,0dfe423f96700f35d56bf7526d608b1e,1,中标次数少
17,f64bc2c761aa900a41f4a51c62c68351,1,中标次数少
18,a2969e901f35b2d837819d8782d0c2c0,1,中标次数少
19,d4c6fdf867e039added7693d7970c206,3,中标次数少
20,154c6c9625a9ea42d39174ec472156ef,3,中标次数少
21,81fe2e27576f0235cf892c17fafc9925,1,中标次数少
22,461b861d228c030d6a75bb7c3824fb00,1,中标次数少
23,a4e310ce0b7ba14bb48fcdb98a632671,1,中标次数少
24,3f2995282a13fd9fff92d18615c5af36,5,中标次数中等
25,e898b4b329523e8d37069e988d93539f,4,中标次数少
26,b4258a719624bcd12f6cf8a870ff13a4,2,中标次数少
27,69731f39e8aab66ccde3519ca425004b,1,中标次数少
28,c751646443caf4b2884ad3f6b8546cc6,1,中标次数少
29,c8cc7716502344b77d302e1dcfdb2cd9,1,中标次数少
30,cc66ff3c3b19df80dae4115f7db32334,3,中标次数少
31,3a52a024ed33a8e265c5ed4591e018d3,1,中标次数少
32,a4d2dcf9c723d9e65f60932eff5ec71c,1,中标次数少
33,57cf3d3154913699e0b17bab3e8d5bf8,2,中标次数少
34,08b46e8da459fc13527a93f0c8b45d4b,5,中标次数中等
35,b650e52ea83a421c478473a7c95c2ffd,1,中标次数少
36,99db33494977cf302ae612edb77971b6,2,中标次数少
37,ce5bf515db35f7428473cbce081ff997,9,中标次数中等
38,d145d92d86020c55b5c7c157dd5eb40b,1,中标次数少
39,a1b60064dca9b2bb79591d4af972ce3a,1,中标次数少
40,8c07f4444bcd864a82e3320004b4fe8c,12,中标次数中等
41,e8ad1bbec4ef7b5fd4f8564749eee562,1,中标次数少
42,cbd2a92fcc3fda31f8dcd35bd09a269e,1,中标次数少
43,dac147ae70343292888405b0ccd69ebb,1,中标次数少
44,5633b957b4bb518e073653d0e034d8b0,4,中标次数少
45,39fc34ad2a2bb5b0c80c164ef9331f48,1,中标次数少
46,38b6361efd67d13d818bb066b0d543d4,1,中标次数少
47,554ad361ecb5b1c1e91e21af8dbc69c1,4,中标次数少
48,2a8234180ebed7e719ef261efdc1bdb0,1,中标次数少
49,4539a76148c20b5508be8c32ac897a80,1,中标次数少
50,174e950e76a01f439ba45538c3527457,1,中标次数少
51,946e6f3d989119be372bb014c190563e,2,中标次数少
52,3b783b8e94a5b1fc9af3a1230227a794,2,中标次数少
53,d8cc192e15b04b025e31bf79c7d47e17,2,中标次数少
54,2f7ccaddbf0d8b7899520704c23023b8,1,中标次数少
55,532e8fb8c5ebbebbd1da329fa626905d,1,中标次数少
56,48ad8bf20014e25ece62385da6fd8778,1,中标次数少
57,0e5f58eee39bf0fbca984fe16f549649,1,中标次数少
58,ee88e99006ef8be2c9774ceec4bb6af3,4,中标次数少
59,ed696171b77e0609a44c19a6f205106f,1,中标次数少
60,717a548f262d9cbb0f7a172ace40afcc,10,中标次数中等
61,e0e49b7bc47dd780881559d0c83807cc,1,中标次数少
62,b41db45f97b8361af1d85f30d903149b,3,中标次数少
63,4946865fd8f3a880a4b44a5fd0b822f5,1,中标次数少
64,bc16acb591b58cb1fecaec34e8d7d6b7,1,中标次数少
65,3a6ea4818d7c85430ed9ab17eb85b749,1,中标次数少
66,e6882873275e6ca13c9c1e762255767d,1,中标次数少
67,5ffe96472457cbe445912e90889aa86a,7,中标次数中等
68,c4f727d1600f508f11fba8f3d76c0c12,1,中标次数少
69,60b6e51db25d5945a9fd73b3ec16611a,8,中标次数中等
70,532e8356c08632251888fc753570bee7,1,中标次数少
71,40b2a2ee399721707ddcc4289ca423e2,9,中标次数中等
72,8918fd9f8679e085b877676a9a639c55,2,中标次数少
73,a3b7dadea93d6edc4921cb4b9f805525,1,中标次数少
74,93a0491395e950d64743e83cd9e554e2,1,中标次数少
75,811a48a485bc5ccdc82bfe1d3c01878c,1,中标次数少
76,d96ca636ea5646ac6aba9be5649d154b,3,中标次数少
77,32353d8f4ecd7bf7c530f6b8671a2f9a,1,中标次数少
78,7d2e2fc2fcf94b44087b063b5f20c03c,3,中标次数少
79,2c5d7dbcf584a385313b88eb6c17e36b,1,中标次数少
80,8ed44533f8927cdbcaba8d13f54acf22,22,中标次数多
81,a6e42b94e82a062b86d4068126ed2f4f,5,中标次数中等
82,6f2eae8e1bc90351bcacff9b0f4a6c54,3,中标次数少
83,4d40e7799fbadfffddbab41b913fc4d7,1,中标次数少
84,8123b57923f531332b41193a87491a7c,1,中标次数少
85,8f57df900d8b1a989b740a2c02577585,3,中标次数少
86,babaaa7a80187537dcf61ad06ca44c54,1,中标次数少
87,73d01a1f787021c3a2a8be925a45527b,1,中标次数少
88,273fcdea4fd4d40bacafd5e04bfb5f65,4,中标次数少
89,645fdea20748da91afed2b81938ebf88,1,中标次数少
90,5ac0c9a1aea5184f69e84ca15ea9604b,1,中标次数少
91,aadfc6e352e51af67f552a332aa3b61c,1,中标次数少
92,6101651f9d0513f776758c81963c4fc2,1,中标次数少
93,dceecd3194bbed9bf3885c7bb6799cf6,1,中标次数少
94,3b4f736b24ab3bc82c1954c0e05d1c22,6,中标次数中等
95,32b352f8b4f1aab4cc51d1c6107674f3,5,中标次数中等
96,d3ab7c48d984b08fade9d14ba35e7d04,3,中标次数少
97,327a3a32a06680e8f332b3c3b8a335ca,1,中标次数少
98,0162f18039088e992c2e37148b07f8a8,1,中标次数少
99,00a3712497ab8cbf049931415a8492a1,1,中标次数少
100,35cb0d910735c70199c5c62bc5cd9820,2,中标次数少
101,09355a96aa02dd04da3f0b49ff9bffb4,6,中标次数中等
102,e4e2020700b94527f6465a1e6552891d,1,中标次数少
103,e5b80ba2e3a753b534d25b7cc54dc03a,2,中标次数少
104,99431ea4c3e6499d4f975fde54dffafa,3,中标次数少
105,b32f49ccf24eea728e8bd12f24cb8b16,2,中标次数少
106,702577acc7097b7a9bc2a4a71eb701a9,2,中标次数少
107,76ec66106c592ec01e1d1d113340f63f,2,中标次数少
108,c756ff5140b39b9db6294221a1e2e284,6,中标次数中等
109,1d35f8fe21f7915702f5729917789ad3,1,中标次数少
110,e65ed5315b3ce76d54cb73ec366e31df,4,中标次数少
111,991a0da0f754e256915bf74c54830244,16,中标次数中等
112,8f089a1d6268bbf02f1bb7170cbe817c,2,中标次数少
113,ed606d656be57439cb78e70c9d86a58d,3,中标次数少
114,af9ea4d8d0bb74ef1b95eb255bfae10d,3,中标次数少
115,316e9c07728a45809e6115acaf49e2d7,1,中标次数少
116,774192524e58a51536967d653444c92f,1,中标次数少
117,372b5526aa7c62f191a84e3b98fd10ca,1,中标次数少
118,ab5f199648872afdaf932e103db1ca9a,2,中标次数少
119,b7fd8710a5026a1470300e4233dd373c,1,中标次数少
120,12d16e7a0cb73b955f5c73db1a984d18,1,中标次数少
121,2143b4c80e21704e9329021f57bd0b15,6,中标次数中等
122,ec49253f415eeaf2234f3b4c171beeef,1,中标次数少
123,53b176909777d1a87761c7e192209f06,1,中标次数少
124,83a322be4c658ec56a02fc2dc41180fb,1,中标次数少
125,ef22b6eb9b6e9bb78f1396541fe43776,3,中标次数少
126,cad8c4f99bda278697d410425074afd2,10,中标次数中等
127,6c8483589b7841807238766a6b5f8bc8,1,中标次数少
128,6ab9c6b592438246bd27aa6fc742df58,35,中标次数多
129,e44f872fff2e613c7453d77346aba800,2,中标次数少
130,a1bcc60bf5caee990d3e5d6af8c45976,1,中标次数少
131,80457f65e0d20611c02bd1e8e588d29b,1,中标次数少
132,30567fe90289aae5e3ebc7b9a427e63e,4,中标次数少
133,cacf9fd99560cbe6486899ff79059850,1,中标次数少
134,7c4a6b8a42907b01879c04102569a15f,1,中标次数少
135,84edfd2a6ac83a3aa06ef95b20961b1b,1,中标次数少
136,a05d99f96c60ec55a96216dca0790a7c,2,中标次数少
137,42522f94b0710b0652ff6bab14887a62,1,中标次数少
138,08d34ae476fb9776b4c05615aa0c80c3,1,中标次数少
139,fa645ef948e38c58cd63e052a39ebf21,1,中标次数少
140,125f788bcb74b1960e3fa85caba32f2d,8,中标次数中等
141,e9b07b1f91c6db50656ea35a0f8af72b,1,中标次数少
142,e5f3fcca971f1c89f79f5e7005f59006,2,中标次数少
143,0363941f691b0ada9075010069acd489,2,中标次数少
144,e0294a4206cc4b1e12e34327d98dae41,2,中标次数少
145,21f35aeec693dffe9a834cd7e9540801,1,中标次数少
146,158e0bbb5ecb6fc2c39a9f2c7d215503,13,中标次数中等
147,4eafebb531cd756efe8124b8cce0c6bd,3,中标次数少
148,fcca1b2f7fbfd17cc8789f2931b37da0,2,中标次数少
149,f06c9f7695b6ed28f4cd6514388a6c8e,3,中标次数少
150,3a4d5483e42ebf4cb878404b7ebea555,1,中标次数少
151,0809dfb1da7aac97372c0bd96d6a4c6f,10,中标次数中等
