,entname,icopy_num,icopy_numlabel
0,4ed9cb1e0465f2199ef4d8784e200239,3,软件著作权登记次数中等
1,773e802ea854faf890c26e58762f6625,5,软件著作权登记次数中等
2,461b861d228c030d6a75bb7c3824fb00,4,软件著作权登记次数中等
3,1549d5f044e20c5c4d4f9f4fa13dba3d,1,软件著作权登记次数少
4,e898b4b329523e8d37069e988d93539f,1,软件著作权登记次数少
5,3b4f736b24ab3bc82c1954c0e05d1c22,2,软件著作权登记次数少
6,9b09b6bc927e97ebca5432d95fca1965,5,软件著作权登记次数中等
7,8cc56fdc71f4a7f70672e8b83cb73576,9,软件著作权登记次数多
8,b377ae9b7d08a8e2ca45b1ec8b2a8015,1,软件著作权登记次数少
9,8d839a8056ba0b8e6220cf4c6e43bb3a,3,软件著作权登记次数中等
10,d9722ddc80420e0c8263866256cdcf79,3,软件著作权登记次数中等
11,5f624bbf1d3fc1cc056984b40a944897,1,软件著作权登记次数少
12,27069aafaafc6fdebe4a896481cf3c33,2,软件著作权登记次数少
13,ed696171b77e0609a44c19a6f205106f,5,软件著作权登记次数中等
14,f004816aa8410c0a52809edb0dd80c8b,5,软件著作权登记次数中等
15,99937dacd8813429d886f19e0583a51a,5,软件著作权登记次数中等
16,3f2995282a13fd9fff92d18615c5af36,1,软件著作权登记次数少
17,2a8234180ebed7e719ef261efdc1bdb0,2,软件著作权登记次数少
18,3d49d60ea66795a11328385cca35caf0,1,软件著作权登记次数少
19,adc5b3ce28f4abcffdcc0a3c2050cec4,5,软件著作权登记次数中等
20,521d240d60457e9b6d77d8c291f9cadc,5,软件著作权登记次数中等
21,88f68f6812f1f3895b1fc19a16066d12,1,软件著作权登记次数少
22,1cd2b00a78973375fc8877e6fd55341f,2,软件著作权登记次数少
23,877b7403034b64feea979069380e9675,5,软件著作权登记次数中等
24,717a548f262d9cbb0f7a172ace40afcc,5,软件著作权登记次数中等
25,ca40b8cda9f5d31240707404bd753ca1,1,软件著作权登记次数少
26,f0f8b05e2ee173f18ede7fa2bad0f371,1,软件著作权登记次数少
27,d2d9bf5bc3cfc5923e8d5475cb7e799a,1,软件著作权登记次数少
28,4f429b0adecce567bb26245ccc5dadf4,5,软件著作权登记次数中等
29,3250bb554f12bbc7b837d87307365094,1,软件著作权登记次数少
30,6e0efae365b54f7d223ae0972d47a0f8,2,软件著作权登记次数少
31,3fa111053eb4fcf1eae5f800780a0bb3,7,软件著作权登记次数多
32,d1b0ea3b0b47f3a168e3b443ec273650,4,软件著作权登记次数中等
33,2f5bd48e38be2c9bc420cda1165f484f,5,软件著作权登记次数中等
34,f693868334018ddea387a4f54fbcf367,1,软件著作权登记次数少
35,350e8ec22a8898f3035921553f86a475,2,软件著作权登记次数少
36,107e28c0b7a74f614b666f9d073197a4,3,软件著作权登记次数中等
37,974bab00f0dd42042aa085897df9e096,1,软件著作权登记次数少
38,ba98b8747f24c99f91336fb221acc1b9,1,软件著作权登记次数少
39,76c9270272fb5431da6d1f6f5ad12a72,1,软件著作权登记次数少
40,61a9efafb28fc0a4af13146a59b42644,4,软件著作权登记次数中等
41,c3df171b9f2fc96edbfc2c426d215602,4,软件著作权登记次数中等
42,5e781f17c00ca5bf8f40ce6501838ce9,3,软件著作权登记次数中等
43,0e4c987e4cea1c0d2f53e4385c5d2609,1,软件著作权登记次数少
44,fe767e4dbe5586fe12741808355349c7,1,软件著作权登记次数少
45,d941f3c1af9e96e8f228caa05b758823,5,软件著作权登记次数中等
46,eec90abf04437ac0495746a6a37056e1,3,软件著作权登记次数中等
47,241f43c5eb7f1062ceb80e3b7c6aad3e,1,软件著作权登记次数少
48,cdea60eeb52bdd8cdba2f79868a61002,1,软件著作权登记次数少
49,654dfb0808c1b9e262145d35e3b169b0,2,软件著作权登记次数少
50,8eb2c2841f92ac60b12a74cf1a928240,4,软件著作权登记次数中等
51,d86ff50e3e3b9d84c1a93da62a6d4021,7,软件著作权登记次数多
52,5bf014d0968fc2fc4f4846dd03cb068f,1,软件著作权登记次数少
53,a8d671888558826fee6ea1125df4c8e0,5,软件著作权登记次数中等
54,5f2c05a70f45bc1889d3368724262235,1,软件著作权登记次数少
55,9d43850788372a782b15c9c495a8a4d2,1,软件著作权登记次数少
56,a94c7b0afdbdb1410755a9dce2d5b473,1,软件著作权登记次数少
57,9580d72dc07165db22b7cac194d57eb7,5,软件著作权登记次数中等
58,4bdd3d7672e3a643a9124bc351cbc02e,4,软件著作权登记次数中等
59,7ebd63ff52a211635fd5dfc444a750fb,6,软件著作权登记次数多
60,56b4488882e690db0774744c15b486eb,5,软件著作权登记次数中等
61,c74eefc8619b371bd3537b5b09701d29,3,软件著作权登记次数中等
62,17491c74637f27daa8960705f77a50d0,1,软件著作权登记次数少
63,feda48d02d5a203118768c09fa8b454d,5,软件著作权登记次数中等
64,427e07994f9933fabea046b15c439390,5,软件著作权登记次数中等
65,5beb7cb21de0241cf5af569d155fa7a2,1,软件著作权登记次数少
66,b410a7f011e7992d1df207dfb3a0d025,5,软件著作权登记次数中等
67,0f0db64c4c0e55ddaa0150d004dcef24,5,软件著作权登记次数中等
68,c07a04007996fd1e12e2f8940e9c8cb8,5,软件著作权登记次数中等
69,4bdb8f8c117ba1784f1cdd60da0569de,5,软件著作权登记次数中等
70,373978e8aee13f38dfe28218af68714c,5,软件著作权登记次数中等
71,b697359fb6b211486fdbd2622d0dc9f3,4,软件著作权登记次数中等
72,a0ab5918ed52612ae17f9673a5e8d5c8,2,软件著作权登记次数少
73,ec07b41f63fcb810dd81557157a88dc2,1,软件著作权登记次数少
74,eafd04abc7fbd125ab9207d53bf7ee9c,5,软件著作权登记次数中等
75,3d17e5fd48a149932f829f23bcc6d213,2,软件著作权登记次数少
76,467619b526c1bae39ed6de6b13ed8584,5,软件著作权登记次数中等
77,733d34b7155456c426f794b3039fc95c,1,软件著作权登记次数少
78,5a789ef901b701598d3ffbcf91c6131a,2,软件著作权登记次数少
79,1e4c2f7bd1463cba5ac675c5316edcdc,1,软件著作权登记次数少
80,76d4de25aa9164e4bc1714cc982a81ff,4,软件著作权登记次数中等
81,898a779b864a6cb900cb86c7fb1ea1e9,5,软件著作权登记次数中等
82,5bdd921e599fcb33767be768f2a2a514,1,软件著作权登记次数少
83,b0f72060df7c94e71cb9682b71ce071a,4,软件著作权登记次数中等
84,a82ef5012e9daa6bd30b612fd8d81927,4,软件著作权登记次数中等
85,f6870bd29348a1ee1182fd6ff92f0b9e,8,软件著作权登记次数多
86,48d953942dd296560cdf6813c25178d4,1,软件著作权登记次数少
87,7453bf2dd63ad0e8f4e59f98464fed39,1,软件著作权登记次数少
88,2b3dda5696358a444c3105226689bd0a,1,软件著作权登记次数少
89,91295634f13744cd3f24bf091e0ffba4,4,软件著作权登记次数中等
90,450b996580b1c84e700d90292562d125,3,软件著作权登记次数中等
91,524e6666e2c3a063bf0c047948e73de1,1,软件著作权登记次数少
92,1849dc979820f6a9a23a26706ee221cb,1,软件著作权登记次数少
93,3eb34efb7e210bbe192fee2382cf9243,5,软件著作权登记次数中等
