,entname,credit_grade,credit_gradelabel
0,8727a2bda692822535a684457e0f0ea2,5,信用评级高
1,94ccc1fe261b667028cf6d033c3ce3fa,5,信用评级高
2,4a44fdd70d1019ccc059de3c0690512c,5,信用评级高
3,6579e06cd70abb2bd7df13e07e4aeee4,5,信用评级高
4,8c97aa04766c330c609157e81eb8bdcc,5,信用评级高
5,b91060ecdb8218e1aaf9b9912d167d5e,5,信用评级高
6,0d8e18484d882316ad6311707e292364,5,信用评级高
7,2a267a3fc2596a235e32f18e178da000,5,信用评级高
8,7386eed0737a717933ca87920eec2ae5,5,信用评级高
9,382c5ee400d3b48f00f41d319c3f8092,5,信用评级高
10,f6700e889064a08b814cd79fb18d4089,5,信用评级高
11,80835aa01a0dc0eb1461de312677fb88,5,信用评级高
12,85a07575bfbbd7ccece64874ab8cc784,5,信用评级高
13,907a645ffe021858b5ae078628f7065c,5,信用评级高
14,dd8e8bf05322b31f7d7cc74daeb8f9f4,5,信用评级高
15,4b3dcda6b10a0eca9529d396dde8e256,5,信用评级高
16,4f043dae65f18245f71aa8faa4d69659,5,信用评级高
17,90e7c6bd27058a0c9cd0b5160a08ca84,5,信用评级高
18,f751bb9a033612733f4937bbe6871b9c,5,信用评级高
19,e07d14b24d4fa9157d813042bf416be2,5,信用评级高
20,5f576203c19bb6a97eec8baa7c4936e1,5,信用评级高
21,5eefcc8b5b1c6a3acc21f81ff152fa6d,5,信用评级高
22,c243fe3b5796b38401804db6b2567d0f,5,信用评级高
23,1d831775d557b208999916968268df4b,5,信用评级高
24,06d1abaadb324a1fee4bf53c530b7268,5,信用评级高
25,1c2892c0424dfc679f214ccc9ee09c43,5,信用评级高
26,579c6760a556e0a005d46c044f20ee65,5,信用评级高
27,f86b2732997d7a49cc798b645d41a467,5,信用评级高
28,72388a46458ff9733110866835d481ec,5,信用评级高
29,b28b731c0f1755272bc26ec9ad21a24a,5,信用评级高
30,dbb8bf807d92ae5886c01ffb90ffb0e3,5,信用评级高
31,3078712c6a7245c4af99cd462e0fad04,5,信用评级高
32,13f3f9c2627d4e95e3f75a6d9500972c,5,信用评级高
33,619e6b6f95bb637a158358006ef74966,5,信用评级高
34,0c9b210551e631c9e1a36fc512b9c723,5,信用评级高
35,6b7237df1ae79d51261aaa0d71f0fa87,5,信用评级高
36,dabeadd2b2301897a51d5dbdb045dd34,5,信用评级高
37,9a07b703a96a88bbafaf09b4afc64cfd,5,信用评级高
38,8eadc056a70fcc1adce888bf76108fae,5,信用评级高
39,c5ffb758278bf3116ca9a8a2b965968d,5,信用评级高
40,2788c01f071c2b57df3b2ab8afb5909a,5,信用评级高
41,83075ba86cb61d72e1a44e53bc86f5a3,5,信用评级高
42,4c1154a6551436ef1dc2fb357c949337,5,信用评级高
43,ac2626523b5944a5845e544ef0c79762,5,信用评级高
44,7b9e62a44dff7cbb2c16db39b3800233,5,信用评级高
45,4fa3a95fac6d450b597909678fbf4d02,5,信用评级高
46,407f244564d22f202178f7faea2dca79,5,信用评级高
47,e1acf4d1b0288271d21334cb1012cd2c,5,信用评级高
48,6dd3574b73f8040bbb8fff0f0d5d75c1,5,信用评级高
49,1cf5107708982c6713101f7ade7e19e5,5,信用评级高
50,1e71a2d4473e58e8f9cccbc730ba756d,5,信用评级高
51,7c25917f32a8ce2a39d0499c1173eca1,5,信用评级高
52,7a6c8b4dfafe914359931ed38142afea,5,信用评级高
53,06d63a30b7e9a16a70d7c3e0561b108f,5,信用评级高
54,50f99dde81b344192c03ba2c3e84c952,5,信用评级高
55,3f0d86b670e82de2c6ce79994b37d5dd,5,信用评级高
56,c444431f8c32989355fd5e35c754f96a,5,信用评级高
57,0f3166bd53afa7ca3a05bf4f356d7e4d,5,信用评级高
58,7c35a90c7c1ad00254228f4526f688cc,5,信用评级高
59,3412c76b2cf87aa4c0ae636e1381ce81,5,信用评级高
60,c8e83ecb1a0861f0a6bd4649ae85db7b,5,信用评级高
61,166a9ad02d549c64bfa585857a0b5367,5,信用评级高
62,5d2c41e120a579aabb106d138890a065,5,信用评级高
63,669386cfe0fa2fd3e66e0b5afe98cadf,5,信用评级高
64,814ce01ffd331b0ae5362a9130edaaf0,5,信用评级高
65,1abb28d646352d51ab0b2ca5addd4740,5,信用评级高
66,0857a9738c2482d5dfbcc89b9366630e,5,信用评级高
67,7a5dab2f1884377522a63074d5589e25,5,信用评级高
68,07a318152366057b2d52efaa0d34a722,5,信用评级高
69,37349a9ef8799f80ad434f7ee0c1f8dd,5,信用评级高
70,6ef3d274e9476ba71d2ea1bc17fa1e74,5,信用评级高
71,bfbd13305cee6e0991cbfefa909922bc,5,信用评级高
72,214f111f27c060d71b11ad07546d7426,5,信用评级高
73,2fb8676b2b9fc7a82180f7e6363f0a12,5,信用评级高
74,323fedab2947b786e0a5f642373ff83c,5,信用评级高
75,3f43abb88553d0ab146ed8786a300ff4,5,信用评级高
76,25fd3523c25fa4e3e358c8f00c3c0b4e,5,信用评级高
77,927a9ada98b50f9edc1224482739a3e1,5,信用评级高
78,63962680adfae38fc61e04653d72d024,5,信用评级高
79,b0485d306d0d0fe62664e08604500a47,5,信用评级高
80,8fe13862145a3bc9b3398d712c1e0e16,5,信用评级高
81,29b53842a0e795a79301da62a87c91b6,5,信用评级高
82,6fa2ba7ec9b90e173e8b0f90de66aad6,5,信用评级高
83,c034a77b1315ba8f3a5c41bb6c839051,5,信用评级高
84,a51c2e371cb0707674a3fa3702f6f991,5,信用评级高
85,fe33043566b472c57eab03bd9544f6d4,5,信用评级高
86,b864ef1e57b53dfbaca26467587acf10,5,信用评级高
87,cde627612f8d24eea5f1b6cb6ab349f7,5,信用评级高
88,a80419e4e90ee1c8919db0f9f89e3bd7,5,信用评级高
89,21df4bee8180f0738c44f2ff61a5368c,5,信用评级高
90,26760d4924026ef7e7509cac54592f07,5,信用评级高
91,67b3571bd6b6601d68d937356010b1fc,5,信用评级高
92,204228c51e569dccfced3e921a7f3d43,5,信用评级高
93,9984fdd6544b6a84b80eb57b3faaf97b,5,信用评级高
94,d76fe60bec54f514921a2917d8ca8863,5,信用评级高
95,f13ae90b886b0de4e50a7062340c2a91,5,信用评级高
96,db82455ea2d893c83abb3b02703062d3,5,信用评级高
97,24aaef06182ffa051960d632537344fe,1,信用评级低
98,633bd518863faea4e19ddd83059e3d44,5,信用评级高
99,33ddc5bda5a951bfdbcc282e6798a4e3,5,信用评级高
100,0dbb72539f93a984095e6a1d196a81c6,5,信用评级高
101,ce60888eb9754a97d00a2e2f0a99dda3,5,信用评级高
102,2aa23559d2cf084522e9568453ff3bfa,5,信用评级高
103,593ebf93951e050c33febd14b278b8a3,5,信用评级高
104,0f3c0185a3e6380326a2b77b1f5eb775,5,信用评级高
105,15826bd6b879e3d4cf6e146e7147a9b7,5,信用评级高
106,fc1521e1f6f5b7e2631d56f8d27f193f,5,信用评级高
107,cb20a96f011e63f4fa3fb650b6b46239,5,信用评级高
108,907bdc1387575c782b5667504918aa6b,5,信用评级高
109,7a95bf017c4fb46d14a910920eea6709,5,信用评级高
110,ad05350ed5e7575976720e40978967e9,5,信用评级高
111,ef31e3bf9a6900a61d85e1cf9eb81894,5,信用评级高
112,dca725f313553163292679004efce908,5,信用评级高
113,4245de2c53a4e6f2ee706302b5761cbd,5,信用评级高
114,4b1f61234dc43807439b8e87b0f2b3a0,5,信用评级高
115,9259e7bd155d9e3ae8d08fc5844f7676,5,信用评级高
116,c8a6692be5bcf695cf2eba941c0f321c,5,信用评级高
117,89d22782e8ae1d1cf254fb667590f979,5,信用评级高
118,53be481aaa16bdf74dab4caf0204cbd4,5,信用评级高
