,entname,idom_num,idom_numlabel
0,e915218f1019554d561deb75d372bb46,5,域名知识产权多
1,277a6642b81a79a2a4136efe1bbdbafe,2,域名知识产权中等
2,d83764e08d463dc91b56c4d883afdc52,3,域名知识产权中等
3,6b717b7b488b72550322ee114d30ffb0,1,域名知识产权少
4,057996258bbe06097475b660f6671788,1,域名知识产权少
5,ec39da08b4b0291c1f743201868f3126,2,域名知识产权中等
6,d5d8bca736657eb666598b3832af810b,5,域名知识产权多
7,6a046375284774883c83e0278adbdad1,1,域名知识产权少
8,005f80a998cdd8b2fa8145cdf0135d21,1,域名知识产权少
9,90b98ff83cbf6d30428ca5a3d477f38d,8,域名知识产权多
10,59748d09a02d8cfde2d86831f0c8f896,3,域名知识产权中等
11,2d45c26102eb2f4dd506a9a3da2f01e8,2,域名知识产权中等
12,ca40b8cda9f5d31240707404bd753ca1,1,域名知识产权少
13,241af2bdc785b5f1bc27da64759080b0,5,域名知识产权多
14,aea25bbf8295f693f7000ad5c982a1a7,1,域名知识产权少
15,b860fa623cf4907ef227d29dd121dc0d,1,域名知识产权少
16,aac5e29f303c24b14e4c5f00c32c888c,5,域名知识产权多
17,3cb0a17d9672ca29110136c3b1e8bc86,4,域名知识产权多
18,5f4616237aeb6abd14b7513ab6f98af4,3,域名知识产权中等
19,74d9d04a5b89c033319c32453f309356,3,域名知识产权中等
20,1f1dbb02ac621fd9bee011ca7680a242,2,域名知识产权中等
21,cf29f02b7b5da17e47fbd3df43cb0ea0,6,域名知识产权多
22,9cf829023c29e5b628089e656a23735b,1,域名知识产权少
23,3e8eb0582cb26634386020ea168d1a74,4,域名知识产权多
24,c094ae0c0469aa9bc089685361e5eb24,5,域名知识产权多
25,4a66085061f8356714b083bbea617bca,1,域名知识产权少
26,9088f76033189e3e6239ee52727b5368,1,域名知识产权少
27,33d3e10ba2568d934ac9cc2d034c7a55,4,域名知识产权多
28,eddc1d877498e733e4c4f552495fab81,5,域名知识产权多
29,30198d2c247aeba1dd91b7a34eeb2978,5,域名知识产权多
30,9af921405109c88c080a866b756ebeb5,1,域名知识产权少
31,c83f9a43a976fdb1df5c10d0b439f6ba,1,域名知识产权少
32,e7c9c784c0197ef9dc73111bce65ac65,3,域名知识产权中等
33,0d7429bf2cf9d2fecb1e5bde454abcdc,1,域名知识产权少
34,f9a493d148329ae3178a11828ff8d982,1,域名知识产权少
35,82e111eb6e4321da5b64558562cca356,5,域名知识产权多
36,2e6de5627cd95df4a9b0385412ecc4da,4,域名知识产权多
37,d1d7799c2ca1ebbc8a7f72dad302733c,5,域名知识产权多
38,e5b70ee339932f5405ed13e85e2840c7,5,域名知识产权多
39,026a260bcf1e7492ee257ff56e5362d1,1,域名知识产权少
40,7e0c320b016744214209e195b120251a,5,域名知识产权多
41,8cc56fdc71f4a7f70672e8b83cb73576,3,域名知识产权中等
42,8788c733d899b30fb5d94346665ddab7,5,域名知识产权多
43,4095c95678366ee766faf7ab45aa8206,3,域名知识产权中等
44,9ad3118a688f20583bab1820c7bf9254,5,域名知识产权多
45,a7b2eecc79e3fa19ee69a5d56da9d9b7,1,域名知识产权少
46,88c71ee08a160ce97a66f1b669d94cb8,5,域名知识产权多
47,d27483929c1cf565ebd55c5742beb75a,4,域名知识产权多
48,5b371d64c2e2dc86dc27308c7bcd050e,1,域名知识产权少
49,959484e462e574ab4c3d21fb31a7ae7b,1,域名知识产权少
50,bec43cb38b455c3d2611e8262d1e4789,4,域名知识产权多
51,4f7cdab198cf5b36ea0f813b2731f80a,4,域名知识产权多
52,8ed44533f8927cdbcaba8d13f54acf22,1,域名知识产权少
53,39c92803d463e981f169de2f95178e8b,1,域名知识产权少
54,f6ecb035139a32aba44308a890819ff6,2,域名知识产权中等
55,7f4833a0e947ad65107081b649471f2c,5,域名知识产权多
56,877b7403034b64feea979069380e9675,5,域名知识产权多
57,0c91661e71f277a1de75327303835641,2,域名知识产权中等
58,be341e482ca97a452ac3e7b52a532f27,2,域名知识产权中等
59,861f55b28d78b9dde5b3666f6f18995c,4,域名知识产权多
60,91a6edba15086e4181da3e4db89fdcab,1,域名知识产权少
61,4e4331364ff0055f73e5e9eb2c8c8345,6,域名知识产权多
62,42bd572064f7c9227cfe3e0cf0cf1d5e,5,域名知识产权多
63,9d990ad8e89b7ffc4c51a5c66160f590,2,域名知识产权中等
64,ae11a57a55fc409f7c24a55f8057e244,2,域名知识产权中等
65,b4a781c6a7b5c841a718081ef474dce0,1,域名知识产权少
66,fc4f02570143220ce3cf4c76387be2f9,1,域名知识产权少
67,d9722ddc80420e0c8263866256cdcf79,4,域名知识产权多
68,294e3e67ad1a3b40e64e4dcf8b570db4,2,域名知识产权中等
69,a912a02dc9315ac26e4a7af42909ba61,2,域名知识产权中等
70,37b65cf41253ecbf79f160512e1eb0ed,1,域名知识产权少
71,aa8cb7b98462b8357deacd2ce92d6447,3,域名知识产权中等
72,4a258aad6f18ef3200737ee99666679e,5,域名知识产权多
73,21385e8b2d0749cedf4afbcca8ea9b85,5,域名知识产权多
74,d6d85f25e632619b3592075753f7993e,2,域名知识产权中等
75,9b75188dc9b127753d493120b072ec99,1,域名知识产权少
76,c18380830499c6b70f5437e6ec5e7db9,1,域名知识产权少
77,b10358e0f466504aaaa8c47d5aaaf8ea,5,域名知识产权多
78,df804e81911a1fb906e85210483b47bb,5,域名知识产权多
79,bc90e90eb9f6e9e1d8fa17d51df66805,1,域名知识产权少
80,b597bd5bf6ed0fcc3fe443649309741e,1,域名知识产权少
81,b34d317a1d242a4b5bc4dea2f503249c,1,域名知识产权少
82,b3f75bfa14de3145a31007b4a16ae1c2,2,域名知识产权中等
83,aeb878c63971bbde8384fec54e770ad3,3,域名知识产权中等
84,f90f0b55e59cd8536b016d99ad6f8f93,1,域名知识产权少
85,a77bb36d86f811c394bede2ca1b316f7,3,域名知识产权中等
86,b7aaa0e724ed9ec580c5eafdf7a703c1,1,域名知识产权少
87,76b5eaf91833ee73fc82362ab167e11d,1,域名知识产权少
88,e5959d9bb3547b38a7251897911e052a,5,域名知识产权多
89,f8ad6efea46244b010e88b2f25ab527d,2,域名知识产权中等
90,8d839a8056ba0b8e6220cf4c6e43bb3a,3,域名知识产权中等
91,f402465280c0f51dfa5605df84692687,3,域名知识产权中等
92,461b861d228c030d6a75bb7c3824fb00,7,域名知识产权多
93,643586d333288a283091ccd660ea4343,1,域名知识产权少
94,3a85ac49ba883c08c90fe693c0daf42a,3,域名知识产权中等
95,dcadf1b71b9d5b543b6d499730a8df5b,2,域名知识产权中等
96,16dbab17d10a161bf32102a72070371b,5,域名知识产权多
97,e4e8335c9bb7a19d0305da70a8038332,1,域名知识产权少
98,ef3cc82731c99751f2c331d3fb0ef5a4,1,域名知识产权少
99,8f402a7a636f727b6fb4758866a00ee3,1,域名知识产权少
100,f2f724e4fd180c47a27405c3b1d7c68c,2,域名知识产权中等
101,f511c1bac71fd6bec1d8b9dbdeede5cd,3,域名知识产权中等
102,989488d1bb9537e74003fd394e6296e2,1,域名知识产权少
103,2b1dd3a5165bd863fdedb2d8cb261fb5,1,域名知识产权少
104,7568e8f455d525d96a8269fdffe70c30,1,域名知识产权少
105,beb92667dd904752d6d6e789d09bb77f,1,域名知识产权少
106,1e8aa851f7289614ae28b35cc763ef0c,2,域名知识产权中等
107,de3d3d6df614e3fa39fefc5858b4acea,8,域名知识产权多
108,2445f31a54bb37734721b99728849212,3,域名知识产权中等
109,cad73996e50b0eaa407b2089ee15a226,5,域名知识产权多
110,f37c2b7a984c53b774eb2755d3815bad,4,域名知识产权多
111,5f624bbf1d3fc1cc056984b40a944897,1,域名知识产权少
112,06b08126eb540559461bc7aba032e692,4,域名知识产权多
113,fd4fb7f50077fbe3d608a84be4ac2ad2,5,域名知识产权多
114,4f555ddb8585f1752acbe1cc3d9b5a9d,1,域名知识产权少
115,6628cfca87ea5afc84b36f59d55c3513,9,域名知识产权多
116,84be69a6eb403b4e3da59ce53829dc2a,3,域名知识产权中等
117,fcaa8a39a60ced08964aca7967a34311,3,域名知识产权中等
118,8556d74e85795eb4b8e04347567010ac,3,域名知识产权中等
119,d2d9bf5bc3cfc5923e8d5475cb7e799a,5,域名知识产权多
120,f969db5a34cd3cb9f403021715250dec,5,域名知识产权多
121,e3a62557f01d04f29d04170bd1a883bf,2,域名知识产权中等
122,c5fa3ff632d4534a94213d1612079ad7,2,域名知识产权中等
123,354a60c297a964d4e340cfb78246a179,1,域名知识产权少
124,27c4d9a3d9a104af0932251da4c96884,1,域名知识产权少
125,7176ce772ab5296ca019749b4e15b157,1,域名知识产权少
126,49eb3e0b4334deb254aac8de976cc22d,1,域名知识产权少
127,1a2ccb18a8dce5d96c090e4abf71ad25,3,域名知识产权中等
128,8c4ede5d4cf8b78645421c5fc2a3b572,2,域名知识产权中等
129,74e1513bc6b2081c807bd7f6568ecc35,5,域名知识产权多
130,3d747a87c2a86eed84a43b350cb51ea8,1,域名知识产权少
131,9b48a84c107b65e01f645c98cbad5ba7,1,域名知识产权少
132,4160828fa827cf41ae1977075b420b7e,2,域名知识产权中等
133,ecfa790c29bc4c97f54869989b4ae8a9,2,域名知识产权中等
134,0c3ec494a2b63cf02a039f20f455d329,5,域名知识产权多
135,6c3b2297cb3dfb172d239bed45cc2c42,2,域名知识产权中等
136,add21d3cbecaf45b1e3a2fd93c8834c3,1,域名知识产权少
137,1d53cce3b7543e06ff6c4b7b750ec3bb,3,域名知识产权中等
138,809f6363a1f17a1f7dc3cebf2539b229,3,域名知识产权中等
139,8ab7cd17d61b7acdf9c2bcfb4c71277a,1,域名知识产权少
140,3623bcb7eb8cbc1fd840a8e03b54762d,2,域名知识产权中等
141,4f1ed432c13d470c14fca3eb956b64d1,1,域名知识产权少
142,958fe064dbc53bf808fbdf8617ec47b2,3,域名知识产权中等
143,8f089a1d6268bbf02f1bb7170cbe817c,2,域名知识产权中等
144,5ffc9eed3e1d3d07235a74d5b6a71f4f,1,域名知识产权少
145,7faa36a70f1ce43056b3f154c44815cf,1,域名知识产权少
146,b298994f2eec2064333ff884b9e5e494,2,域名知识产权中等
147,4db11f03bbd6b36b01ed12458e9665db,2,域名知识产权中等
148,84edfd2a6ac83a3aa06ef95b20961b1b,5,域名知识产权多
149,fea28a745abb947b2e5f1f4f547f1f65,1,域名知识产权少
150,2a87e6a8aa79841274b56d936af914ed,2,域名知识产权中等
151,6f6c86c4f85bdd78593f2111b0008663,1,域名知识产权少
152,b2251119c7a0ad69941e7e3fe415962b,3,域名知识产权中等
153,d1678657eba657549a16b5228cd4c6d0,1,域名知识产权少
154,0a42683c6e7e8281f8ccc914b78b011e,1,域名知识产权少
155,2746f6f5f850403601615488f935b992,1,域名知识产权少
156,cb7129f84944a10ca39807452cee3819,1,域名知识产权少
157,326a8f528f545150ac77760ad972f345,2,域名知识产权中等
158,33dfebfca84391f8e9a7390fe4d1eeab,1,域名知识产权少
159,07f55c7de76b19b1ceb6997c3c3c98a4,5,域名知识产权多
160,99937dacd8813429d886f19e0583a51a,1,域名知识产权少
161,0a3d00510064135bc0f563c4c79f28ae,2,域名知识产权中等
162,58dcacb0d0f48359c12ecf5b051cea2d,1,域名知识产权少
163,2088f07aab9b5dde4e0e32835efdeeb7,2,域名知识产权中等
164,5b60c99ee6420070aa0c96a8ac50ade0,3,域名知识产权中等
165,0363941f691b0ada9075010069acd489,1,域名知识产权少
166,79d79aef55a39bc9ebaa0702e7c009ca,1,域名知识产权少
167,3c149c3862fa43d090a92d654c600a24,1,域名知识产权少
168,0e19a962a54c005eddbd86506396bf16,1,域名知识产权少
169,ce67230813205c3653597251649e672a,1,域名知识产权少
170,c7a6e8868c3524b991de64a125b9f9ef,1,域名知识产权少
171,ca69f48eb236e2b432a7410d6e164af0,1,域名知识产权少
172,e7de16ca890465541ff007ba484d29a0,1,域名知识产权少
173,f405d6322e2cdb471e2d87eb64edd428,1,域名知识产权少
174,8e37571a913778901ee5c6e8849d833b,1,域名知识产权少
175,b3224cb2d1f8185512de46e954fe86ab,1,域名知识产权少
176,4a821aab5bc61d35ff3e9cf992cedbf4,2,域名知识产权中等
177,833348005458b167dfa62ade1742aed4,5,域名知识产权多
178,dc451eac72bf0eaefc558aee797a7e9d,1,域名知识产权少
179,b63599f0fa39386ac250cea5f4c8c18e,3,域名知识产权中等
180,7d80ba1af91f87016a1cc40e4bbfcd66,1,域名知识产权少
181,079c2cbab8717e787b28853daa9c6753,1,域名知识产权少
182,01586f67624e5676f5418ec4b302ec0c,1,域名知识产权少
183,cc57b33375ab86641806dad878ecc511,4,域名知识产权多
184,d3b10eeef35740ee3b6c4cefbf46b7be,1,域名知识产权少
185,5b9ccf9d0ee76f128e1b96f07900199f,1,域名知识产权少
186,6e526e4720b38f8fd770ef9d76aa53ef,3,域名知识产权中等
187,2193a924910b17e84d85bb1d2425b9ab,1,域名知识产权少
188,319de0eb38b24a86b559bfee36e57723,1,域名知识产权少
189,39309dcb95ae702d697698f6c2cae63c,1,域名知识产权少
190,b3c104de22601e55e42cf2410282aa57,1,域名知识产权少
191,5633b957b4bb518e073653d0e034d8b0,1,域名知识产权少
