,priclasecam,entname,priclasecamlabel
0,0,308c59c5d39ff51ea3307549a9b1ebfb,债券数额小
1,0,edf9b3f595098639d399d4e2c1aea21d,债券数额小
2,0,edf9b3f595098639d399d4e2c1aea21d,债券数额小
3,450,1f9f98d0460032edca58ea90616495ee,债券数额小
4,450,1f9f98d0460032edca58ea90616495ee,债券数额小
5,0,cc60bfe7e08983e32b0da73c4511460c,债券数额小
6,0,b66ec645740d1ffe97048ae49f6c00fe,债券数额小
7,600,2c114771440d831a18fc1c2c74487ecc,债券数额小
8,10,f572283074754287011d555bd27a3e9b,债券数额小
9,900000,97c4f06380ec6a4c0d41b2d67188906a,债券数额小
10,0,4b430b2fb5da0c5d5ac4cb790a96fdc7,债券数额小
11,0,46f494d9efca164b4afcf12790c5be92,债券数额小
12,11,4497ef01656c7196174017d420834109,债券数额小
13,0,e42fe801b93a84c5bfc9c237d812daee,债券数额小
14,0,51e261bef7fb3acebe0381daa6152a06,债券数额小
15,0,4f02f6dfafa4fc7b23c59bdbbe26d5f0,债券数额小
16,0,e97e9d363c878cec1cdd78b99b970a46,债券数额小
17,3000000,7dadaae30636e6ace9896d0dcd34e0f1,债券数额大
18,0,71f6c8fc87c1aff17c369f92ac1e4d03,债券数额小
19,300,f025337bc3fb35ce89bb1ee35649e361,债券数额小
20,200,f025337bc3fb35ce89bb1ee35649e361,债券数额小
21,200,f025337bc3fb35ce89bb1ee35649e361,债券数额小
22,2000000,72211843c0b5879669423a7b1709cf05,债券数额大
23,51,3b9d2283952fd7c52b8a723d7632fa27,债券数额小
24,0,09265d12164662539ded57e1147db1d6,债券数额小
25,0,84c4d16c25f27a188214a796fa821e92,债券数额小
26,278,515bb98fd1b564ff1b85e495c33c2441,债券数额小
27,278,515bb98fd1b564ff1b85e495c33c2441,债券数额小
28,500,6499da29c444d6bcb428ac512f491509,债券数额小
29,0,e5f5d6e29e14e25a892369a6a3f3cc2a,债券数额小
30,0,3d4a68dc215f4f79d69a7a5af2389fbd,债券数额小
31,0,599b4335641c11b03ca8bb283845b964,债券数额小
32,0,baa8780a3ad9957781728858167bce30,债券数额小
33,370,8920f1d85397500f9a4c3914f70cba3f,债券数额小
34,0,e187c2bb44d3ceb1c8af247ab5fe56d9,债券数额小
35,300,5e6a2ef9af4ef062769431c85c875271,债券数额小
36,500,5e6a2ef9af4ef062769431c85c875271,债券数额小
37,100,3c5c86b178c49da1986c4c2c961598e9,债券数额小
38,100,3c5c86b178c49da1986c4c2c961598e9,债券数额小
39,100,3c5c86b178c49da1986c4c2c961598e9,债券数额小
40,0,91a6d6ebc39d37d322f0c50292c504ff,债券数额小
41,0,92392218c2ba9bbe1be7091b8b2492c0,债券数额小
42,0,32c97da84412e2ae04e1cd584ed519a9,债券数额小
43,0,349e5344c631752bae8c9b6882df5e84,债券数额小
44,0,349e5344c631752bae8c9b6882df5e84,债券数额小
45,0,e03607f23f042b827c8904ddf835960f,债券数额小
46,0,e1491bf51d5bb4812b4d8f123048aaa2,债券数额小
47,800,090b7efbd72099593fc1ea4882097852,债券数额小
48,500,7105de9596d537d099272a0e2ca6fa02,债券数额小
49,2000000,87e7c36520dca0621723af541390107f,债券数额大
50,0,d42d18f8e6936f5e4925dd51899a2ab3,债券数额小
51,0,7c3b5786a1c9d9213807ddcca623e1da,债券数额小
52,0,7c3b5786a1c9d9213807ddcca623e1da,债券数额小
53,0,9014136a7908766d679578e42e0a82cf,债券数额小
54,0,7d69260a9cfd4a8838a1b3520932127e,债券数额小
55,11600,c969689febcf011518d6ed2f1a86ec52,债券数额小
56,0,f47b870e50129cdb297ea80446621884,债券数额小
57,0,e0678f0a96d79887e9c6c5225e8057f6,债券数额小
58,500,399d2eab622472aff95f5498be47ac94,债券数额小
59,0,3703e64e8f480e5f9ff8af17af496be3,债券数额小
60,0,768ff4b3079b759c6f28336a6cc7372c,债券数额小
61,200,52b211da94d44834c234a3bc1c5d5d3b,债券数额小
62,0,7de31d4d96ae582d0f76d31067d1d2ee,债券数额小
63,960,59793af64bd11b3cccf6c85f05fcecee,债券数额小
64,500000,fca458d97640002fb1b4987725206a6c,债券数额小
65,31,da7eeb363114a81685945619bbaf8dc9,债券数额小
66,0,9b73bea0576d7b9332dafe6403b029f0,债券数额小
67,0,18670d512b4d9fc17f06a9f5cf7f4f56,债券数额小
68,100000,a8c76ebc939f9c3c1da96143c88522b9,债券数额小
69,2.2,9ce504f778f85201619b6bd395fb81e4,债券数额小
70,7.4,9ce504f778f85201619b6bd395fb81e4,债券数额小
71,0.1,bdbead4684653a71c5f2f0ded0049a18,债券数额小
72,1550,0a1199465e795775fd2c04688a550bf1,债券数额小
73,1550,0a1199465e795775fd2c04688a550bf1,债券数额小
74,0,58fd2cc999cee487c2c0b60441bd83c7,债券数额小
75,0,702461bd3a66b960a28879670a62620a,债券数额小
76,0,93e6fe81230ff6e25ff7f117909a7760,债券数额小
77,25000,aca0938c5e3073680f88baa48f94f5e7,债券数额小
78,0,ea03df60d7396a618928c795a8064eb4,债券数额小
79,0,b827f44cb6bea7cbde9b5bc877df6e56,债券数额小
80,10,f29db12c2ee455e6c84da1c8ec54615f,债券数额小
81,632.91,835b6dbc15c5a115214ea98aa8840d66,债券数额小
82,200,f7d2be76d9f1931098cfdcb2aa52175b,债券数额小
83,0,86115382c1228c7ffcae03fd0a2890c8,债券数额小
84,780,c37a432b1dc8058ec86c956ee1d87cfe,债券数额小
85,780,c37a432b1dc8058ec86c956ee1d87cfe,债券数额小
86,80,7d34e4dcd8b50467b8ecaf395c2080eb,债券数额小
87,200,8f664b6331379a0c2b2782a751ec4f55,债券数额小
