,entname,recruitnum,recruitnumlabel
0,eb069359873e96b166b0a9fc29b92f65,6,招聘记录少
1,122a969ae5a223e501ff1bcc30f9990a,18,招聘记录中等
2,6093327e9f555eb5927abaafb5593563,2,招聘记录少
3,c2f7db536b1b96817a2438a9e465a38d,1,招聘记录少
4,97e7699ad3bba44e71b5e922c7c67f98,3,招聘记录少
5,9628838f30f1addc305d6526ce4bcb64,3,招聘记录少
6,b17c687c51499b4a9949dbd2f12dccce,2,招聘记录少
7,4460ce9d6a759f890a7aab658c1bfd9b,34,招聘记录多
8,b328175f9c51f04040fbfa6cfa452eb3,4,招聘记录少
9,f32fe3a761f090776148dc6d42c8bd65,7,招聘记录少
10,e2d0d5063c5ddd1046ec0c1732b7d3ec,89,招聘记录非常多
11,6f8ec4cacc95ebc3c88bf4fe4898356d,2,招聘记录少
12,0529d03d8bb2a2cf1f90119ab530780f,8,招聘记录少
13,0c91661e71f277a1de75327303835641,24,招聘记录多
14,6eba1db4c8e35e6354233483f056bc37,3,招聘记录少
15,23c31817ed06afab1bc47d0d189fef40,1,招聘记录少
16,3612319481ef9f2edaabc470b65e8336,5,招聘记录少
17,de0cab5afa4f522bca01156eba79c0ca,8,招聘记录少
18,8d2868be9420182844530f799e61787c,19,招聘记录中等
19,4784b4aa3b7b2b0d469059e048d568e0,5,招聘记录少
20,06f7dc52674a8dac52939c8efbdaec0e,5,招聘记录少
21,7b84a0237e1506b3fe903c819d55cc90,5,招聘记录少
22,3990aec5a41830992df5375b21cb416d,3,招聘记录少
23,60ff0c9f72a9431649cb6c6bd63f3846,1,招聘记录少
24,80149462ffe039dafd87ae62c8ff1547,24,招聘记录多
25,b45978ad2eda23cfe6893b7cfae42d95,7,招聘记录少
26,0db4a1882c429df4715451d6e56ee79e,1,招聘记录少
27,f954fe3326f187cfb2a2138185eaa9bc,8,招聘记录少
28,01db323b50b4c89e3105a31472d87926,23,招聘记录多
29,b0c8743216b905e5f5d2b3f4a808729c,3,招聘记录少
30,3bfa066e41c86aafb9f540471ab86564,5,招聘记录少
31,02ada9c7affe1853059797a1009224b2,14,招聘记录中等
32,d6bbc11b812c82304a12aa216de245f2,2,招聘记录少
33,05f326bc442574bde4f4903ed76ab083,5,招聘记录少
34,8a0472e92d5b3b1907410a0cd53b75fa,12,招聘记录中等
35,52aa98e07b36fc28d96a073365bb7053,2,招聘记录少
36,24bac5a723bd1a7c991c8b3762a91d82,20,招聘记录中等
37,6068a60079a2cec6e1fcbe8cbb13175b,11,招聘记录中等
38,e27b5ee79778898e51ef0ef7498562b5,6,招聘记录少
39,b67cd28f221da966e1e47e22dc1a3d97,6,招聘记录少
40,15b02b9b09cd645b36b126a5b63f0147,15,招聘记录中等
41,d61785c1b8d529186d6648bf2f6a64c9,2,招聘记录少
42,5f899301868a9b597b6fe8eb3fb26c78,8,招聘记录少
43,d27483929c1cf565ebd55c5742beb75a,27,招聘记录多
44,dd2050e39da33628055866a4a1ddbbf6,2,招聘记录少
45,257978c3b18b06bf9db4d768cf1456f1,9,招聘记录少
46,98d502886769352f67c3c35e7702fe84,1,招聘记录少
47,61c66ed32cc83e1185b63ebe90f43ec0,5,招聘记录少
48,69464db39091dc970a3ea4af8df4cfa0,16,招聘记录中等
49,ec8c1bb75a199015058d6880eaadaa46,11,招聘记录中等
50,460b63ca8f13fa6646a4c88f578b6d10,402,招聘记录非常多
51,62f856d24ee8c1cf548d70d83c88f882,30,招聘记录多
52,cb66fc88c49f0f02ec8accd8591e359b,2,招聘记录少
53,f70fdfc028ea7e9f042f8af78701e345,5,招聘记录少
54,88c71ee08a160ce97a66f1b669d94cb8,27,招聘记录多
55,ee7b168261546f104822c76f0de007eb,6,招聘记录少
56,1771783f14a42d20869df88fd079ffb3,16,招聘记录中等
57,fcce2cf0ec9b76a27d754446b6ddb498,24,招聘记录多
58,b7b0f4e0fd7421fe95fda230f762687b,11,招聘记录中等
59,16ef19c7a80389a972f9121db0f9c0d6,3,招聘记录少
60,1e72ca9a69e24473768c6d92d2448f3c,5,招聘记录少
61,582bd75de8f86554983444ebccdbb678,2,招聘记录少
62,e703e0d75125662d8297c31a7af17c51,5,招聘记录少
63,c6b1d42c53b3e872693223aff895db6a,11,招聘记录中等
64,7fa1b419fbe2cd1268425d291ffa121d,26,招聘记录多
65,c5e9e5ce4ab029856362772f5b1ac63d,1,招聘记录少
66,4450f3260d65144ed3bd6c429c19215d,4,招聘记录少
67,468bfebb985f7993e2e91e03811267b0,19,招聘记录中等
68,a1ebb0136fcbff525e206873af38af0f,7,招聘记录少
69,7a0d822dcfe55a3a498f65887eda0697,29,招聘记录多
70,a7ba4fbb1f4326540960a1fcfeb79676,24,招聘记录多
71,92fc1fc2c4523cb8a3ab79d903c7eb6c,10,招聘记录中等
72,570adecd1c32b5dddf5ee7074a4fb725,10,招聘记录中等
73,a83c62230e95cae19538956300a09b06,33,招聘记录多
74,9fa14fe3de2190a19950b40ed3e92b8c,12,招聘记录中等
75,2f9d11e73c8ec62cbecd700875825cbf,19,招聘记录中等
76,c53f5e2022eb363857cedc64ed9f6c52,3,招聘记录少
77,2490fd0b3f7a8fd521e9e54cde17f917,7,招聘记录少
78,818eaf68b17f3da57005f8950d05d7ad,18,招聘记录中等
79,629fca3d33170cc00b973f67aa7c8f83,1,招聘记录少
