,entname,shopnum,shopnumlabel
0,0a42683c6e7e8281f8ccc914b78b011e,1,少
1,7a87bd7fdbaa6c4ab6aa7ccb785cc20c,1,少
2,2909a8020bf48ae138ed02a55c2f4114,1,少
3,4f1c6d5bb08fd6543bfd44ec4eb78cab,1,少
4,6c3b2297cb3dfb172d239bed45cc2c42,2,多
5,54c2e4778305e82d67a7ec3dc1608c16,1,少
6,2746f6f5f850403601615488f935b992,1,少
7,a6c13c9f9a5642235bb6677fc38e02fe,1,少
8,46e5ea1a5c23e1d98122a9b09bd9d1c2,2,多
9,406ea71b6a53c834174fb3d697275332,1,少
10,0afd34e872a0a404e634a925ad7748d9,1,少
11,4e4331364ff0055f73e5e9eb2c8c8345,1,少
12,b68d915c665030a4475bef067e2e322c,1,少
13,ad0133b6aac55d1f12896e2229514423,2,多
14,786e234d4c72112a2ecc4f8fd0b3015d,1,少
15,dcc5af741843d5b0ad2ac3dfbfa6f5d3,1,少
16,019a6e2c11effc745f0bec43573f20d5,1,少
17,34daaa27a78c6c0d9cc61433702772f3,1,少
18,51c2ba42353da17c11958fa7d7daf95f,3,多
19,591b0dc454d1a0d16b45f11b8dddd916,1,少
20,a7f3f3a9053d280dfbe5aa28c46d7f1d,1,少
21,e0dc6f3aff8b0a9d9d4e3120e724b744,1,少
22,d55ffd11ea2cd71b92ff88bae29ad6b4,1,少
23,febada109d82b64481e08f694014ce41,1,少
24,eeea9e453bda4abcb66b6d086de7c5f9,2,多
25,9d180286467b60818901b041f5eee224,2,多
26,54499d36a1684ee8e7684ec717b3f6e9,3,多
27,d7a9ac6c2ace5928a43163760d31ea90,1,少
28,1d338660452c90bdb8ddf79c81741039,2,多
29,429464e24d3458ed673283fb7e15fc4e,2,多
30,307cf944bd3c1a1f2c77819963c5b56d,1,少
31,56dedc6c465ab48f6f41da884c48fcda,1,少
32,495cb5e443d16b22ad4bf7eb5b8c222d,1,少
33,87a4592ada62f1fe4ed68f82fe28b8f2,3,多
34,ee6f6b957e2b589fd1b1d2dd5941c9e1,2,多
35,bc16acb591b58cb1fecaec34e8d7d6b7,2,多
36,b1f3b279352af855265fb1341a467f4c,1,少
37,4261ab98d4828d1606cb3a42bc94a25b,1,少
38,3476297b435812155b317f114d6a1b16,1,少
39,239326aca862162a63495e9d2ec45653,1,少
40,071c3bb89d63907714e7999a17be3f98,1,少
41,b44a1fac6c255d8654a2d0063125c53d,1,少
42,1da2009c2ffc9caa7f2b674bde94d620,1,少
43,2fd7687ff9ebade4bf14bc0e1f6b98aa,1,少
44,cce7d2a32d21034814b7ba0d9444df22,3,多
45,4f649eca47ff01af48c6570cbd8196dd,2,多
46,49c6785305194abefc7fb2b3647ddd3d,1,少
47,bb83e2c9bcd342255f3985f0dc78b171,1,少
48,8f7324a3fb7638e8022744e217a3396d,1,少
49,a2c82d2ec74f6543057c539b68bc5b8f,2,多
50,e39e0ffa61b0d33cc6408d26e9200af1,1,少
51,ccc4fd44d81cb869db73a4e3e442d811,2,多
52,cd90f43c034a5d46f1d73e57049ff050,1,少
53,4057c1dabcc450ce801bcfc70d025c19,1,少
54,ce0f0749f0bc09a93a7456fd6fe06fad,3,多
55,2ec81b2bba549c12ca9018e60f812910,1,少
56,ad9a3ba9efb964369f37dcbe2b15c5ef,1,少
57,535e19674771063f80d340d29a0e5f16,5,多
58,3b4f736b24ab3bc82c1954c0e05d1c22,2,多
59,1a783c5ccaf050b373e6e16c9a233bad,1,少
60,98b1adb90086e359bd58d03141aadead,1,少
61,cfef9a1ee68c4e9689f1b306f775d019,2,多
62,3ecf81067f48f00a8da1a48301755e16,1,少
63,e8357e982675a6a68e75c45be4feb06b,2,多
64,fb3b784deea4506587bbc04abfebee4c,1,少
65,c33d4c7ae149ce0ffd28ebb2eb292786,2,多
66,41fd27490f151d1ca9f5f8384eba298d,2,多
67,7eeef2907e63b2d7f05c83703a5cab46,1,少
68,1771783f14a42d20869df88fd079ffb3,1,少
69,bf280f3e7d9afb7b7450a8bc0385ef07,1,少
70,e85837fc403e89a9c92285c8c7332717,1,少
71,e2e7c21ffef58994aabb69868c99e1e4,1,少
72,84edfd2a6ac83a3aa06ef95b20961b1b,1,少
73,0b09bff71f0caf948c84e858b28a83c9,1,少
74,dd317d7397489d0b49396d1d6850fd2b,1,少
75,f37c2b7a984c53b774eb2755d3815bad,1,少
76,fb42625e9871005dc129e3daf0cad1d3,1,少
77,0ae85a048249a9b7811e6233b712caa1,1,少
78,b3276b01304328ba40cf100263732ae0,2,多
79,57639734fa6394134ef85033b29c9328,2,多
80,ad16893fcb5f15f8b59a462884892475,2,多
81,9266b4cea851fc18ce457e44d2272d12,1,少
82,291e0604ec789e0a379a73023a2856a3,1,少
83,595e1b2334dbecf79d84bf00bae8d2b4,2,多
84,4510041927ec9e13b2fae7a6981f911c,1,少
85,f9ee4324f896c4a59a2600569b3a5042,1,少
86,efb01db5232d1228f9b381742d0a852f,1,少
87,d985af80f4f596ef5ef0ad7a52641a23,1,少
88,952adff23df5ec81f195624351e0fa4d,1,少
89,ebc9e192ba17fd128b1b24ce89dd62f9,1,少
90,b3c104de22601e55e42cf2410282aa57,2,多
91,ce817cb2f3130c2f07b05f9a88d3e6b8,1,少
92,b7aaa0e724ed9ec580c5eafdf7a703c1,1,少
93,356bee07d61cc7e066939eadcf2a60f8,1,少
94,8d47b5694355879c03e26b8d4bd61eb8,2,多
95,507ab93f1b3e46dd3bce7b8f073e6c19,1,少
96,11b64d0a7d6b58f64d652c2254fcee88,2,多
97,66e67383714a24ae0cae4953ab967246,1,少
98,55438783dccb12e36cec32c44e7e50dd,2,多
99,6ad842dec6d6d8963a118cc5991505d2,2,多
100,d703a569a24a4b0097a98a98c241e17d,2,多
101,8d14eb4979635c2b878ee743efe1ff22,2,多
102,010c29902662a613f00c7220b2469adb,1,少
103,7f9b18c5a558ffee24ef4ac8014a4cc9,1,少
104,cf6f04d08513c92c0af782ef8e9bc3cc,2,多
105,6a6b745dca1eae0b9ecb61a6f13ee2e7,1,少
106,ab4cd9b5b9cd82b466a3d4dd609379b8,2,多
107,d38bde508e5c311c0c508f122b3ea754,1,少
108,12fdc9abca2f74220ab941cd44846ae2,1,少
109,0950131776cec695a01b8fbdade0198b,1,少
110,c3a3e873f24be7de1e819f7ce7436398,1,少
111,e6882873275e6ca13c9c1e762255767d,1,少
112,621cc4df7b5d42418f92472f855971e7,1,少
113,fee746eb59d98ebf9a977e6f43f9b008,1,少
114,2ce4966d14d3dfbccf847726d4c338fe,1,少
115,2d45c26102eb2f4dd506a9a3da2f01e8,1,少
116,dd1ed5f6e50e90b0258636d28ba28d40,1,少
117,31e06881af0050fd13affea339222c5f,1,少
118,f23983241f0d5e7ad3f49699156bced0,1,少
119,c09b514d1c6b096f6f71e95737e2a980,2,多
120,ec49253f415eeaf2234f3b4c171beeef,2,多
121,37177e2bbccef889b51e2e835167d02c,2,多
122,c23b02297634ede97c6b7b6ed0d8e4db,1,少
123,5a27791b1bd2c2a17d359cc967ce923c,1,少
124,7e0c320b016744214209e195b120251a,1,少
125,a22af98984668a1e80406bf1938e04c8,2,多
126,2affef98c38f58e74c004233810ec8b6,4,多
127,ec1b9e908c908a131c30261651d8f132,2,多
128,21805f76223e0114054a53129a58fd93,1,少
129,8a51ce36e84b9093b39111ad0605435a,2,多
130,edd280f843020822587e5620efc2cefb,1,少
131,215c474e5353a70a1e528ad9c21ed8b1,1,少
132,1dff5e62f4e88dbec2dedfdc8ae2e174,1,少
133,16ae237da2affa6cf9919151d1cd4124,2,多
134,c01a6f2ea96f406d9579b23e7dffed9a,2,多
135,be066b3be8bc4b9655b78fd2b2c6151e,1,少
136,be341e482ca97a452ac3e7b52a532f27,4,多
137,217d0fcdfdada483850c7d29d2e6ec18,1,少
138,809f6363a1f17a1f7dc3cebf2539b229,1,少
139,a994c3e6c652a10afa4de92087fce887,1,少
140,074aa781a8c682cc7545cc37cfa22d27,2,多
141,8f089a1d6268bbf02f1bb7170cbe817c,1,少
142,328183fe6792ac313598121623966846,2,多
143,d9722ddc80420e0c8263866256cdcf79,1,少
144,0b30d4f89c9b771ce3ef30ff327ee5fd,1,少
145,39cdc37588063788bfc5106af038143b,1,少
146,18d91e43f42ca1fad409bc595cddcd51,1,少
147,a68ba959887d3817a5053212f7c628d9,1,少
148,f87022141dfb96a6d7deedb30e96de7c,1,少
149,c78f3de33cd9a50465704935e4935ef4,2,多
150,95d3783b0d1817d61bd64640a1f1b7a9,2,多
151,d6bbc11b812c82304a12aa216de245f2,2,多
152,ff6e2698050be89d0a1618ac381f6a6f,1,少
153,04136039c5d6f7bc31e96b3a8c720382,1,少
154,77e47fbea35ec74cf2494315510f71f6,1,少
155,d2d9bf5bc3cfc5923e8d5475cb7e799a,2,多
156,936b2d21d9a1e068f783718e050abab3,1,少
157,e3704416dff771bcb97f53345eb1d554,2,多
158,63845129f4ea0c9ad53127c6c6bf97e3,1,少
159,caf9dcb7e6c4091919d424533a7c77b9,1,少
160,80479b72959be7da11cfb02807b0b298,2,多
161,35cac1b8f49a3953e572910e20988bac,2,多
162,818eaf68b17f3da57005f8950d05d7ad,2,多
163,3a85ac49ba883c08c90fe693c0daf42a,1,少
164,e3a0bc113f4889d888119ad9da112758,2,多
165,0d8f24ba88cf3227806cf8b08bc5c118,1,少
166,d8d8876d417ebdf804c24c0fa0b90470,1,少
