,entname,taxunpaidnum,taxunpaidnumlabel
0,60c4f052e3bf14bf08fe745586f39f64,318720,欠税额中等
1,f9cf0d4a03fffa2107b4185b8bddb409,4200,欠税额低
2,644e60b432b1e93592f2dd19e231af10,52271,欠税额低
3,5ef1b34751b2a729dd4fec4e08351c9f,48151.71,欠税额低
4,779654672e292ba6805b455a126b8d9d,3000,欠税额低
5,2cbcacb0cdf2db39279a077ab8299646,548.24,欠税额低
6,95c8b0904a33aca3a26e494299818b9e,790130.73,欠税额高
7,376d44d6a24443487b47aa8e5960e0ef,74439.8,欠税额低
8,0cb597f241e95f83b98fdccb69d34974,726.09,欠税额低
9,33abbdc116101eebe52ac81451f4e94f,104.68,欠税额低
10,91b2bc6d85201358072f80e0321d0277,831703.44,欠税额高
11,8ea03f17d6e35cc7d159c7d8cc8e8c1c,46654.59,欠税额低
12,3f494f58436b0d036fbd9cebb6d9dc4a,23567.54,欠税额低
13,4f89786a85f832ebc91b5cbf7992e625,1638588.18,欠税额高
14,5a1ad1cf83b1dd5db29d34bb1f906b46,1125,欠税额低
15,f7660ef817f7c4be5cfabd8fad5410f9,836175.94,欠税额高
16,5da3b32cfdb021f5ab1aaf77a9e67a86,154921.35,欠税额中等
17,30b85d5045cbaec5403ad8018f9a8046,169575.7,欠税额中等
18,3a8155af8efe8ba3476642b529a90aee,794838.49,欠税额高
19,27e87b719cf62f1f1dcb7aac4fd3ba79,46626.49,欠税额低
20,c4fcebd7f1b8e5722cca8c903b54cd6b,134213.75,欠税额低
21,2bd482461b9eb37b2fd542525e156ef9,9822.22,欠税额低
22,d07c13f96ed945c454a6eb7899ffda05,1000,欠税额低
23,f45b51ec9d4850940262391cbcb5a766,68764.74,欠税额低
24,b5b4a9a5a73ee44ddff75b127229f56c,6218.77,欠税额低
25,141abd757b8ec156f06c74571d7312e4,5600,欠税额低
26,2401263cce8f1149aaf5548470016bf0,647625.87,欠税额高
27,655606bca0d91b6ef21cfd50a64a52f6,40849.4,欠税额低
28,4ae5bdfe61fad539910536713b88c313,5211.2,欠税额低
29,21c15a348fb7e0aed3bb66736f5a4cf4,1001.13,欠税额低
30,49a1547f765122227ce53c65bdf42279,39096,欠税额低
31,d47496981e7862da3aeb05fd144a8dff,249451.51,欠税额中等
32,05fad70ae986382c0f595d83ab3f93a5,555186.15,欠税额中等
33,f268cc5a74e7e7d502a9622070f2677d,1569.23,欠税额低
34,40bbb82e6958911cca1db1366990ad6e,5678.33,欠税额低
35,411ab7f3a94dd30cf832df660a4359e8,25,欠税额低
36,5dbc84a261d282e0b07b296c0d218cb4,842672.32,欠税额高
37,d06f209dbf6701c260396e41af8ec493,2486.25,欠税额低
38,3598526191e42babd8527f9ebe27ad40,12.96,欠税额低
39,77403a9ad8d0591a16bca4935c5599b9,5.83,欠税额低
40,0a684240142a2143f7f11362830c743a,153253.75,欠税额中等
41,39a0c0c133d48b13162277cfd4c16ce4,120.48,欠税额低
42,4ca8e4bd9f45b5ca3a82a6b8607231cf,4392.58,欠税额低
43,3e2b63db2a34727f0e784e2ab645f780,847534.8,欠税额高
44,e215cea06509704a8e7b25b3558b3dda,765.21,欠税额低
45,09ce2fef1db32be880112905225db7f5,4382.46,欠税额低
46,0fef2e587390ecdaf5c8d5946070051a,26327.04,欠税额低
47,3568704699c40fbfae84ca7b40b0739d,10,欠税额低
48,bd657c27e195fa27224dbbc484a19120,178.03,欠税额低
49,444898214f3763fb877b9b5e10caf807,7445.04,欠税额低
50,a2b67523ec2630bb86b5d6d6142c06c7,71.51,欠税额低
51,18f1e159cebb1121d2ba2cd628daf756,408232.95,欠税额中等
52,da881e6286935c55d4bb1ec2c8c8b85f,27991.45,欠税额低
53,ee9931a7f910c207d3682f24ed06ac05,122120.28,欠税额低
54,e618ab4480fbbaf221870bea3c048734,354245.61,欠税额中等
55,6bd25110b5454265cd843e1644c06dac,750,欠税额低
56,6ead820c40d016d706b3591f64ed7885,1044.32,欠税额低
57,04b650121b7521c72f620f3a6e74a265,52.26,欠税额低
58,901ff39e13533c9f27513b24c7e8fa3c,17241,欠税额低
59,c1630f4dde2c0ff46e3d045abc867012,2854.37,欠税额低
60,223dda73c01b673d20b16f5717fc8b09,2079.19,欠税额低
61,f7f199b0a4a6d5e729a814d49d250496,1022314.8,欠税额高
62,fcf0d8925cd9629c26b74f65877d4fb4,2112.67,欠税额低
63,7969f765721762d81975afe6b37bdf3a,1075.72,欠税额低
64,9ec67d343a6f4f0ed8b3526782204bb9,822115.31,欠税额高
65,1e9409773224cc546a0276f0da5a6ae8,367355.33,欠税额中等
66,c109ec4350fb7bfde2a3066888432fc4,1244794.49,欠税额高
67,32d342ba15269fd2a97271ce83a62133,120.6,欠税额低
68,d0e9c055bf530cf3b3cafde4a0072b08,36990.44,欠税额低
69,6b6213b18dbf47bc2a924feb9a389c10,759.48,欠税额低
70,fbb1f077718569874b7d069da08f2d1a,6737.47,欠税额低
71,0d3c874d68fd78cff5c120b3e079f526,301861.42,欠税额中等
72,72ae4d08f229b048b2a5de75e5297ccd,11733.49,欠税额低
73,10e50b4bb7730993517c19fd52dc6750,361456.91,欠税额中等
74,cd736e9fa18139fd6ce7e486c9c48453,600,欠税额低
75,f5620d95dcfc1676fc15dc8ff70e8c4f,13.2,欠税额低
76,7fd9e927cb6696931c4d90b53682ca08,56543.37,欠税额低
77,5b5c847fd5a2ba6d801c904bf98c849a,5.47,欠税额低
78,1da09d53addc6c994d3a13b143beeb46,788330.5,欠税额高
79,857c810810afe4dd89b8ed1b9a796443,837540.94,欠税额高
80,cfa31d43ef7c5532993d25af58f7f7a0,6990.29,欠税额低
81,bfbccc5884fc09b08c3cb19ae8d04a85,7920.68,欠税额低
82,3946fa377bbb5cc0f0e23fe84334056f,21185.54,欠税额低
83,2f8e184827947c47c57fb53963a6bd16,145711.2,欠税额中等
84,016a14dbfc494b6a03991a65da3c8b38,280819.25,欠税额中等
85,1ad26d7edf3351d218649e42fe728b37,1211568.5,欠税额高
86,fcf94c8419431d64b3c5bb13f86fcd0a,1363.18,欠税额低
87,63cdbad243a5f25fff02ca0b1e4adf26,167544.01,欠税额中等
88,3c19f203421f1f86b121d52d20a20c17,67079.4,欠税额低
89,bdeea6b96088835d9319652e9fae3b87,2584.2,欠税额低
90,cacd2235de4749b7d0f81a082e171ffa,375465.93,欠税额中等
91,cc76603aeebd67a7650821e088c1dbd8,400,欠税额低
92,7ef28d3bf9a5a82ce3ada461f27c3ea4,17988.72,欠税额低
93,ba44d60e0fb63ba18b5787ffeeab7581,4383.41,欠税额低
94,8bc97d80f5e5b67328f84d1ba9c75e08,1259.73,欠税额低
95,94a78fbf7de304e29d96865e243259a1,178.98,欠税额低
96,f7bf86345add6f271bc850c7bf6a33a2,1212.77,欠税额低
97,5d4cb38e2fdf4d7d9cd8f3d708c3d13d,97.21,欠税额低
98,1c51b7db56cf3cde0a2b683870bc08a4,11854.04,欠税额低
99,c38e26696582f4bfd007f0197c4d9dac,9990.75,欠税额低
100,24057f034972e389291e87c8fc0e3338,771885.38,欠税额高
101,da696cfdfbe3fc38147f91c5981e1e93,35,欠税额低
102,e0d10372e520a3651e80c05f62aa29e2,14474.86,欠税额低
103,38930934fc47e78f9ace9d4770df4ae6,13321.97,欠税额低
104,56a2f8684d3f842f3190871d80570f8a,2395,欠税额低
105,d4c1b2bff1561d64d4c6b93397ca64c7,385633.16,欠税额中等
106,d40e17c81ae06e99f096824351cee0ef,1926.79,欠税额低
107,b1f9ce3d96bad821592d1f4e64524e8f,79,欠税额低
108,52b8b7f00e78fcb04b506ba197985c38,164147.33,欠税额中等
109,5bebc929a55057eae4a9c8a152c3f7fd,750,欠税额低
110,4b500bf069d23102b4789d3e07c4d291,366121.07,欠税额中等
111,986a455822e6a7c70e0877e9a3113977,4649.39,欠税额低
112,4c95a731c3161fe148652303dda00eed,4877.97,欠税额低
113,11cae73224b526b1f70498a123ba6b0a,88096.92,欠税额低
114,947f5d89d0fa6d1b85691b38662bd627,44058.72,欠税额低
115,3f026cfff6d5d0c78985ee56d97dd70f,300,欠税额低
116,4aa66ef4d187e497f99a246a4e336e60,300,欠税额低
117,5a2cc1f371f9570c7a276704eef5b472,240,欠税额低
118,f69934099114d73ba4645b0fcae69f57,1840,欠税额低
119,a026fe4d02e948ef3c1516ac1c9554c3,4571.15,欠税额低
120,65c9f4f39efa42fb02b3ba753d6b5d13,154534.51,欠税额中等
121,6729ecef71f1ea9ba2f8189bf6537619,158132.71,欠税额中等
122,7ac944697d0b6e2f29b501aee334d43b,35821.69,欠税额低
123,36bdb6b3350f44681a5db49335de0a2e,402656.92,欠税额中等
124,ae6572ef34c95b5b606cc8434d854c8c,12063.4,欠税额低
125,65c252307b97bbde913a8ac6708087e8,5548.07,欠税额低
126,a697794a1e8dc959840178f88b1b31ec,6353.54,欠税额低
127,9d6f820ed0612ac9652b995ec60c589a,12693.99,欠税额低
128,12afb352fdd5af24535016dedc023a04,32830.27,欠税额低
129,be85749afcdafbf578923ccd931d1b65,159451.41,欠税额中等
130,71271b444813044c824db5ee6a479905,11273.75,欠税额低
131,871eb895b5ae3d2d873c36dd74c37f4a,3150,欠税额低
132,3be82dcad4463ffa3d454ebdad49c411,396630.4,欠税额中等
133,99a4a59a5d05c49ee300ecfb50ba3e8b,409797.84,欠税额中等
134,1ef735bc09db4b565e051739bee4f6e6,35964.84,欠税额低
135,3e27728fd47131f260d135efd17395e7,176843.49,欠税额中等
136,ad07f14f9af5461bc39f6582f0365c96,158521.33,欠税额中等
137,94844c04c61c3b740689d3fcb12b43b6,5021.57,欠税额低
138,a96bea4a4bf68ef5da87daa331a57467,21632.64,欠税额低
139,af1627ae2205ee0bada08d18aa99a2e6,657.03,欠税额低
140,4373398e00d8b3c9a4289dca0447cb17,90.27,欠税额低
141,4d4e990cf7699bbbb57ee35edcd5ac27,2844.61,欠税额低
142,cbe33e65b6b6f33df1060c1daca5aa57,1372.52,欠税额低
143,a00ca9e23adb8ac17859e57c3356f4df,412985.7,欠税额中等
144,3f6146cf51b2ea7477c3a8deaffa4308,163172.39,欠税额中等
145,f51201f9a2880e6ae4ee8510a2f45d16,7.5,欠税额低
146,344c5e6d9a51133f41c37be5e92ab17a,302.8,欠税额低
147,6e7f3d3e0b61c6a77d615e1d4b7df7d3,827.4,欠税额低
148,b254630489ef131bc225c2bc30b15624,10436.77,欠税额低
149,1d8e93b07baae103b8bbadbbff21a6c1,153287.67,欠税额中等
150,d0d6810ebae86a0a410f5e7c2c1ac015,27000,欠税额低
151,1b6e9010fc93f39e049f6fdf878a852c,213.83,欠税额低
152,c06e93c8053ddc61c97fce5bd0b8a4b3,500,欠税额低
153,dc7749704dd9e71928107881d63e7f20,164466.43,欠税额中等
154,91989b5ba3d9b1333b74cb57d5760a5f,649107.41,欠税额高
155,d4ef8e800567792ec05638dd2ba4a78f,169564,欠税额中等
156,df3571ebdce53a2faa62d3157bf74619,30,欠税额低
157,ff2b3c1789a3cca036c3b1abda6190c4,160382.14,欠税额中等
158,7701c73396a0b8e6d5fd7b95cbd49bf0,7143.54,欠税额低
159,6f4783c31ef79e4ae3fbf5021913c781,3168.93,欠税额低
160,9326e89a6506ffd2c7671fc81c9251c9,159134.14,欠税额中等
161,87f5a894f255a4a1cab17fdeb38e69fe,419131.62,欠税额中等
162,45f4946b7ee85159ae4f7b0594efeeab,383116.06,欠税额中等
163,5c7422174f56f5570c01c4141a645f35,261.17,欠税额低
164,3ebb40cde8d674dd4da13839868a898a,1908.76,欠税额低
165,9528c86bee66f919a0bcc9270c7af469,1500,欠税额低
166,f3a82e69dee2dda069e1171867bcf2d3,411.42,欠税额低
167,7083f79b5dde9d398193b80f9c94de9a,1821.26,欠税额低
168,7d3f0400650371e057d78d4e6e2254d9,76.81,欠税额低
169,f96ba5c6dddfc144771c914b30c702de,767.17,欠税额低
170,e66391b0f3011179d80a4af83470c66f,2856.23,欠税额低
